"pais","turismo","idade","filhos"
"Franca","sim",68,2
"Franca","sim",37,0
"Franca","sim",45,3
"Franca","sim",59,2
"Franca","sim",29,0
"Franca","sim",32,0
"Franca","sim",63,2
"Franca","sim",39,2
"Franca","sim",43,1
"Franca","sim",48,2
"Franca","nao",39,0
"Franca","sim",45,0
"Franca","sim",39,1
"Franca","sim",56,2
"Franca","sim",49,2
"Franca","nao",49,2
"Franca","sim",38,0
"Franca","nao",43,2
"Franca","nao",42,1
"Franca","sim",45,3
"Franca","sim",43,0
"Franca","sim",33,0
"Franca","sim",52,2
"Franca","nao",45,3
"Franca","nao",38,1
"Franca","sim",61,2
"Franca","nao",41,0
"Franca","nao",47,1
"Franca","nao",38,1
"Franca","nao",49,1
"Franca","sim",44,3
"Franca","nao",48,3
"Franca","sim",41,3
"Franca","sim",57,0
"Franca","sim",51,2
"Franca","sim",61,2
"Franca","nao",51,2
"Franca","sim",55,2
"Franca","sim",42,3
"Franca","nao",41,2
"Franca","sim",64,2
"Franca","sim",45,2
"Franca","sim",35,1
"Franca","sim",55,2
"Franca","nao",40,1
"Franca","nao",39,3
"Franca","nao",45,2
"Franca","sim",36,1
"Franca","nao",52,2
"Franca","nao",55,3
"Franca","sim",33,0
"Franca","nao",43,3
"Franca","sim",45,0
"Franca","nao",42,0
"Franca","nao",37,3
"Franca","nao",51,1
"Franca","nao",39,3
"Franca","sim",54,2
"Franca","sim",41,1
"Franca","sim",32,0
"Franca","sim",66,2
"Franca","sim",45,3
"Franca","sim",46,3
"Franca","sim",55,2
"Franca","sim",38,2
"Franca","sim",55,2
"Franca","sim",53,2
"Franca","sim",41,2
"Franca","sim",32,0
"Franca","sim",37,3
"Franca","sim",33,0
"Franca","sim",51,2
"Franca","sim",63,3
"Franca","sim",41,3
"Franca","sim",52,3
"Franca","sim",42,0
"Franca","sim",39,0
"Franca","sim",45,2
"Franca","sim",51,2
"Franca","sim",51,2
"Franca","sim",59,2
"Franca","sim",36,0
"Franca","nao",51,2
"Franca","sim",55,2
"Franca","sim",55,2
"Franca","nao",49,2
"Franca","sim",38,0
"Franca","sim",44,2
"Franca","sim",55,2
"Franca","nao",46,2
"Franca","sim",50,0
"Franca","sim",48,2
"Franca","sim",41,3
"Franca","nao",48,2
"Franca","sim",57,1
"Franca","nao",47,2
"Franca","nao",61,2
"Franca","nao",52,2
"Franca","sim",39,1
"Franca","sim",59,3
"Franca","sim",47,2
"Franca","sim",40,3
"Franca","sim",51,2
"Franca","sim",64,2
"Franca","sim",50,1
"Franca","sim",55,2
"Franca","sim",51,2
"Franca","sim",61,2
"Franca","sim",37,0
"Franca","sim",37,1
"Franca","sim",47,0
"Franca","sim",42,0
"Franca","sim",52,3
"Franca","sim",41,0
"Franca","sim",51,2
"Franca","sim",41,2
"Franca","sim",54,3
"Portugal","sim",41,2
"Portugal","sim",45,3
"Portugal","sim",33,0
"Portugal","nao",41,3
"Portugal","sim",69,2
"Portugal","nao",51,2
"Portugal","nao",47,1
"Portugal","nao",55,3
"Portugal","sim",39,3
"Portugal","nao",52,2
"Portugal","sim",45,2
"Portugal","sim",45,3
"Portugal","sim",37,0
"Portugal","sim",56,2
"Portugal","sim",35,0
"Portugal","nao",43,3
"Portugal","sim",29,0
"Portugal","nao",46,3
"Portugal","sim",47,3
"Portugal","sim",39,1
"Hungria","nao",42,2
"Hungria","nao",37,0
"Bulgaria","nao",43,1
"Bulgaria","nao",47,2
"Bulgaria","nao",42,3
"Bulgaria","sim",41,0
"Bulgaria","nao",51,2
"Bulgaria","nao",52,3
"Bulgaria","nao",56,2
"Bulgaria","nao",45,2
"Bulgaria","nao",34,1
"Bulgaria","nao",40,1
"Bulgaria","nao",45,2
"Bulgaria","sim",45,3
"Bulgaria","nao",42,1
"Bulgaria","sim",40,0
"Bulgaria","sim",65,2
"Bulgaria","sim",62,2
"Bulgaria","sim",56,2
"Bulgaria","sim",45,2
"Bulgaria","nao",50,1
"Bulgaria","sim",49,2
"Bulgaria","sim",61,2
"Bulgaria","sim",67,2
"Bulgaria","nao",47,2
"Bulgaria","nao",54,2
"Bulgaria","nao",47,2
"Bulgaria","sim",36,0
"Bulgaria","sim",47,3
"Bulgaria","sim",33,1
"Bulgaria","sim",37,3
"Bulgaria","sim",37,0
"Espanha","sim",31,0
"Espanha","nao",46,2
"Espanha","sim",43,1
